trade_date,ts_code,date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2019/5/24,000016.SH,20190524,2702.0252,2693.8792,2722.3359,2692.5261,2685.9336,16.0916,0.5991,21237076,29272238.81
2019/5/27,000016.SH,20190527,2722.3345,2696.2581,2731.3037,2667.377,2702.0252,20.3093,0.7516,27243848,38602910.97
2019/5/28,000016.SH,20190528,2748.7987,2719.0611,2759.7788,2716.3083,2722.3345,26.4642,0.9721,34670056,50583998.91
2019/5/29,000016.SH,20190529,2755.8081,2728.4353,2780.3073,2724.8524,2748.7987,7.0094,0.255,24940857,42312700.12
2019/5/30,000016.SH,20190530,2742.9635,2748.4289,2752.6862,2721.8807,2755.8081,-12.8446,-0.4661,24398405,33563876.79
2019/5/31,000016.SH,20190531,2728.9459,2740.3026,2762.387,2728.9459,2742.9635,-14.0176,-0.511,22188152,30748522
2019/6/3,000016.SH,20190603,2743.0644,2737.8055,2762.0755,2723.9315,2728.9459,14.1185,0.5174,27092220,36382740.31
2019/6/4,000016.SH,20190604,2721.3139,2744.6964,2746.5145,2713.8036,2743.0644,-21.7505,-0.7929,22275832,31497303.91
2019/6/5,000016.SH,20190605,2719.5949,2741.9384,2747.2335,2717.932,2721.3139,-1.719,-0.0632,25766253,35126727.11
2019/6/6,000016.SH,20190606,2706.7621,2727.697,2727.697,2701.9208,2719.5949,-12.8328,-0.4719,21390312,29226456.03
2019/6/10,000016.SH,20190610,2743.3745,2717.9139,2752.8815,2712.1587,2706.7621,36.6124,1.3526,27088081,39536245.73
2019/6/11,000016.SH,20190611,2812.8986,2750.541,2816.9916,2750.541,2743.3745,69.5241,2.5343,40850315,61099051.33
2019/6/12,000016.SH,20190612,2796.7319,2802.5273,2805.0054,2790.1834,2812.8986,-16.1667,-0.5747,26445230,36655472.04
2019/6/13,000016.SH,20190613,2794.5361,2798.0221,2804.7555,2771.857,2796.7319,-2.1958,-0.0785,23452887,32358595.7
2019/6/14,000016.SH,20190614,2785.6055,2798.396,2816.1773,2781.7234,2794.5361,-8.9306,-0.3196,26124830,35432680.8
2019/6/17,000016.SH,20190617,2793.7037,2785.4728,2813.4452,2785.4728,2785.6055,8.0982,0.2907,20477851,29172435
2019/6/18,000016.SH,20190618,2806.454,2800.8296,2809.866,2785.381,2793.7037,12.7503,0.4564,21676404,28833695.2
2019/6/19,000016.SH,20190619,2842.7358,2872.0726,2879.2346,2842.4241,2806.454,36.2818,1.2928,41160110,61700813.9
2019/6/20,000016.SH,20190620,2942.6287,2847.3173,2954.0326,2846.4352,2842.7358,99.8929,3.514,57360369,87264861.5
2019/6/21,000016.SH,20190621,2938.7729,2939.6478,2958.2273,2929.9031,2942.6287,-3.8558,-0.131,46560205,68751725.1
2019/6/24,000016.SH,20190624,2949.5176,2942.5061,2958.0238,2931.6665,2938.7729,10.7447,0.3656,29016018,48517969.6
2019/6/25,000016.SH,20190625,2910.1212,2946.0203,2946.708,2875.3678,2949.5176,-39.3964,-1.3357,38165595,64510972
2019/6/26,000016.SH,20190626,2903.4868,2896.7649,2915.2351,2891.004,2910.1212,-6.6344,-0.228,24024660,36749515.1
2019/6/27,000016.SH,20190627,2937.1283,2917.2036,2952.9076,2914.962,2903.4868,33.6415,1.1587,33472487,54015595.8
2019/6/28,000016.SH,20190628,2930.5982,2932.6932,2937.2912,2911.6659,2937.1283,-6.5301,-0.2223,23708671,37348147.1
2019/7/1,000016.SH,20190701,3002.9395,2984.649,3011.9096,2978.7515,2930.5982,72.3413,2.4685,42622714,67658868
2019/7/2,000016.SH,20190702,2999.0759,3000.7803,3003.8838,2988.4701,3002.9395,-3.8636,-0.1287,34629488,50202955.87
2019/7/3,000016.SH,20190703,2964.7309,2990.0547,2990.0547,2953.6999,2999.0759,-34.345,-1.1452,33918965,52948819.09
2019/7/4,000016.SH,20190704,2953.2719,2966.3315,2974.7974,2939.9707,2964.7309,-11.459,-0.3865,32928834,49240940.05
2019/7/5,000016.SH,20190705,2961.9222,2952.7138,2967.9828,2937.5953,2953.2719,8.6503,0.2929,23845345,37972405.68
2019/7/8,000016.SH,20190708,2897.5121,2944.973,2944.973,2877.737,2961.9222,-64.4101,-2.1746,33732588,48931992.09
2019/7/9,000016.SH,20190709,2881.5517,2894.332,2902.143,2872.0295,2897.5121,-15.9604,-0.5508,21374700,33052158.1
2019/7/10,000016.SH,20190710,2878.7812,2896.7013,2897.5754,2870.6704,2881.5517,-2.7705,-0.0961,18911521,30567386
2019/7/11,000016.SH,20190711,2887.8313,2897.4724,2918.9444,2879.6359,2878.7812,9.0501,0.3144,21157266,37057602.5
2019/7/12,000016.SH,20190712,2902.1295,2883.0876,2912.8988,2878.2019,2887.8313,14.2982,0.4951,21454210,36102862
2019/7/15,000016.SH,20190715,2902.6099,2885.9772,2920.1567,2850.098,2902.1295,0.4804,0.0166,28196106,45518424.6
2019/7/16,000016.SH,20190716,2884.561,2900.0461,2905.1108,2881.4038,2902.6099,-18.0489,-0.6218,17411517,29622629.4
2019/7/17,000016.SH,20190717,2875.0299,2877.4885,2892.3352,2866.4655,2884.561,-9.5311,-0.3304,18099830,29234605.3
2019/7/18,000016.SH,20190718,2859.1646,2869.7295,2872.2421,2859.0691,2875.0299,-15.8653,-0.5518,19542086,30766133.2
2019/7/19,000016.SH,20190719,2895.6249,2875.9644,2906.5473,2875.9013,2859.1646,36.4603,1.2752,22451089,36954836.8
2019/7/22,000016.SH,20190722,2881.9038,2897.7856,2905.3508,2872.5271,2895.6249,-13.7211,-0.4739,23603184,33459223.7
